id,date,dep_airport,des_airport,airline_id,total
1448,2013-03-01,JFK,CAI,MS,678
1449,2013-03-01,JFK,BDA,B6,3146
1450,2013-04-01,LGA,BDA,DL,3146
1451,2013-05-01,JFK,LCY,BA,468
1452,2013-10-01,JFK,TPE,BR,522
1453,2013-02-01,JFK,BGI,B6,1299
1454,2013-12-01,JFK,LIR,B6,843
1455,2013-02-01,EWR,BHX,UA,649
1456,2013-01-01,JFK,MUC,LH,2057
1457,2013-02-01,JFK,CAI,MS,678
1458,2013-02-01,EWR,HKG,UA,2717
1459,2013-03-01,JFK,ACC,DL,637
1460,2013-01-01,EWR,NAS,UA,3196
1461,2013-12-01,EWR,BDA,UA,3146
1462,2013-02-01,EWR,GLA,UA,683
1463,2013-03-01,EWR,LIS,UA,1235
1464,2013-02-01,EWR,OSL,UA,1453
1465,2013-03-01,JFK,BCN,DL,1904
1466,2013-04-01,JFK,CAI,MS,678
1467,2013-09-01,EWR,CUN,UA,5646
1468,2013-11-01,EWR,ZRH,UA,3248
1469,2013-09-01,JFK,UVF,B6,635
1470,2013-03-01,JFK,CCS,AA,528
1471,2013-01-01,EWR,AMS,DL,3750
1472,2013-01-01,JFK,TPE,BR,522
1473,2013-11-01,JFK,CMN,AT,712
1474,2013-08-01,JFK,LIR,B6,843
1475,2013-01-01,JFK,CMN,AT,712
1476,2013-01-01,JFK,JED,SV,449
1477,2013-11-01,EWR,ZRH,LX,3248
1478,2013-12-01,JFK,BCN,DL,1904
1479,2013-08-01,EWR,POS,UA,2322
1480,2013-09-01,JFK,MDE,AV,485
1481,2013-06-01,JFK,CPH,DL,1156
1482,2013-10-01,EWR,BCN,UA,1904
1483,2013-12-01,EWR,BHX,UA,649
1484,2013-01-01,EWR,YYT,S5,700
