name,airline_id,origin_country,active
Yangon Airways Ltd.,YH,Burma,Y
CheapFlyingInternational,WL,France,N
Euro Jet,24,Germany,Y
Tramm Airlines,9F,Netherlands Antilles,N
Flightlink Tanzania,Z9,Tanzania,Y
IzAvia,I8,Russia,Y
Maryland Air,M1,United States,Y
Insel Air (7I/INC) (Priv),7I,Netherlands Antilles,Y
Apache Air,ZM,United States,Y
Eastern Atlantic Virtual Airlines,13,United States,Y
Citilink Indonesia,QG,Indonesia,Y
Gulisano airways,GU,Italy,N
XAIR USA,XA,United States,Y
Avilu,..,Switzerland,Y
Rainbow Air (RAI),RN,United States,Y
Rainbow Air US,RM,United States,Y
Regional Air Iceland,9N,Iceland,Y
Voestar,8K,Brazil,Y
