airline_id,dep_airport,des_airport,dep_name,dep_city,dep_country,dep_lat,dep_lng,total,des_name,des_city,des_country,airport_id,des_lat,des_lng,alt
BA,JFK,CWL,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1,Cardiff International Airport,Cardiff,United Kingdom,CWL,51.39670181,-3.343329906,220
DL,JFK,YYT,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,700,St. John's International Airport,St. John's,Canada,YYT,47.61859894,-52.75189972,461
DL,JFK,AGP,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,110,Málaga Airport,Malaga,Spain,AGP,36.67490005,-4.499110222,53
LH,EWR,KEF,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,1446,Keflavik International Airport,Keflavik,Iceland,KEF,63.98500061,-22.60560036,171
SK,EWR,GOT,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,1,Gothenburg-Landvetter Airport,Gothenborg,Sweden,GOT,57.66279984,12.27980042,506
DL,JFK,BDA,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,3146,L.F. Wade International International Airport,Bermuda,Bermuda,BDA,32.36399841,-64.67870331,12
UA,EWR,CUR,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,27,Hato International Airport,Willemstad,Netherlands Antilles,CUR,12.1889,-68.959801,29
LY,JFK,KRK,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1,Kraków John Paul II International Airport,Krakow,Poland,KRK,50.077702,19.7848,791
AM,JFK,ACA,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,3,General Juan N Alvarez International Airport,Acapulco,Mexico,ACA,16.75709915,-99.7539978,16
SV,JFK,LHR,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,20374,London Heathrow Airport,London,United Kingdom,LHR,51.4706,-0.461941,83
UA,EWR,MGA,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,2,Augusto C. Sandino (Managua) International Airport,Managua,Nicaragua,MGA,12.14150047,-86.16819763,194
B6,EWR,SDQ,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,6752,Las Américas International Airport,Santo Domingo,Dominican Republic,SDQ,18.42970085,-69.66889954,59
AA,JFK,SXM,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1681,Princess Juliana International Airport,Philipsburg,Netherlands Antilles,SXM,18.04100037,-63.10889816,13
S5,EWR,YOW,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,4181,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,45.32249832,-75.66919708,374
AA,EWR,SJO,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,1798,Juan Santamaria International Airport,San Jose,Costa Rica,SJO,9.993860245,-84.20880127,3021
FX,JFK,PIK,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,2,Glasgow Prestwick Airport,Prestwick,United Kingdom,PIK,55.50939941,-4.586669922,65
9E,LGA,YUL,La Guardia Airport,New York,United States,40.77719879,-73.87259674,18521,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,45.47060013,-73.74079895,118
AA,JFK,LGW,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,19,London Gatwick Airport,London,United Kingdom,LGW,51.148102,-0.190278,202
AF,JFK,BES,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1,Brest Bretagne Airport,Brest,France,BES,48.44789886,-4.418540001,325
CX,JFK,PEK,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1741,Beijing Capital International Airport,Beijing,China,PEK,40.08010101,116.5849991,116
DL,EWR,DUB,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,3258,Dublin Airport,Dublin,Ireland,DUB,53.421299,-6.27007,242
UA,EWR,YUL,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,18521,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,45.47060013,-73.74079895,118
AA,JFK,BRU,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,3031,Brussels Airport,Brussels,Belgium,BRU,50.90140152,4.48443985,184
LH,JFK,GDL,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,2,Don Miguel Hidalgo Y Costilla International Airport,Guadalajara,Mexico,GDL,20.52179909,-103.310997,5016
UA,EWR,MAO,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,1,Eduardo Gomes International Airport,Manaus,Brazil,MAO,-3.038609982,-60.04970169,264
KL,JFK,SNN,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1749,Shannon Airport,Shannon,Ireland,SNN,52.702,-8.92482,46
AA,JFK,HND,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,648,Tokyo Haneda International Airport,Tokyo,Japan,HND,35.552299,139.779999,35
LY,JFK,WAW,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,725,Warsaw Chopin Airport,Warsaw,Poland,WAW,52.16569901,20.96710014,362
VS,JFK,YYT,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,700,St. John's International Airport,St. John's,Canada,YYT,47.61859894,-52.75189972,461
VS,JFK,YQX,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,55,Gander International Airport,Gander,Canada,YQX,48.93690109,-54.56809998,496
XL,JFK,UIO,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1,Mariscal Sucre International Airport,Quito,Ecuador,UIO,-0.129166667,-78.3575,7841
DL,JFK,HND,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,648,Tokyo Haneda International Airport,Tokyo,Japan,HND,35.552299,139.779999,35
VS,JFK,LGW,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,19,London Gatwick Airport,London,United Kingdom,LGW,51.148102,-0.190278,202
LH,EWR,NUE,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,1,Nuremberg Airport,Nuernberg,Germany,NUE,49.498699,11.078056,1046
VS,EWR,KEF,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,1446,Keflavik International Airport,Keflavik,Iceland,KEF,63.98500061,-22.60560036,171
